,x,y,z,cf
108,8.20320292,0.609864836,0.0,0.00676091724956582
109,8.26478369,0.661046928,0.0,0.008192776547904117
110,8.32579876,0.712904702,0.0,0.010034553715936508
111,8.3867023,0.764897296,0.0,0.012430814821381279
112,8.44831119,0.816041132,0.0,0.01555852208248112
113,8.51155321,0.865122145,0.0,0.01940063426363218
114,8.57751359,0.910395547,0.0,0.023367425618174006
115,8.6474359,0.94901365,0.0,0.024965321029308075
116,8.72202688,0.977106876,0.0,0.019881373833119005
117,8.80019908,0.993013561,0.0,0.010753398872272963
118,8.87990887,0.999013462,0.0,0.004502922472673483
119,8.95996196,1.0,0.0,0.002162470203176817
